
"372-FG","北客","HINO","ERK2JML","RK-14C-SHEN-A2","J08C-TP","馨盛", , , ,"北區", ,"全航245-U8", , , ,,
"373-FG","北客","HINO","ERK2JML","RK-14C-SHEN-A2","J08C-TP","馨盛", , , ,"北區", ,"全航610-U8", , , ,,
"375-FG","北客","HINO","ERK2JML","RK-14C-SHEN-A2","J08C-TP","馨盛", , , ,"北區", ,"全航293-U8", , , ,,
"376-FG","北客","HINO","ERK2JML","RK-14C-SHEN-A2","J08C-TP","馨盛", , , ,"北區", ,"全航291-U8", , , ,,
"377-FG","北客","HINO","ERK2JML","RK-14C-SHEN-A2","J08C-TP","馨盛",200603,20060530,20130905,"北區", ,"錫安山大白", , , ,,
"378-FG","北客","HINO","ERK2JML","RK-14C-SHEN-A2","J08C-TP","馨盛", , , ,"北區", ,"仁友255-U8", , , ,,
"379-FG","北客","HINO","ERK2JML","RK-14C-SHEN-A2","J08C-TP","馨盛", , , ,"北區", ,"中客937-U8", , , ,,
"380-FG","北客","HINO","ERK2JML","RK-14C-SHEN-A2","J08C-TP","馨盛", , , ,"北區", ,"中客658-U8", , , ,,
"381-FG","北客","HINO","ERK2JML","RK-14C-SHEN-A2","J08C-TP","馨盛", , , ,"北區", ,"全航238-U8", , , ,,
"382-FG","北客","HINO","ERK2JML","RK-14C-SHEN-A2","J08C-TP","馨盛", , , ,"北區", ,"中客659-U8", , , ,,
"383-FG","北客","HINO","ERK2JML","RK-14C-SHEN-A2","J08C-TP","馨盛", , , ,"北區", ,"中客660-U8", , , ,,
"385-FG","北客","HINO","ERK2JML","RK-14C-SHEN-A2","J08C-TP","馨盛", , , ,"北區", ,"全航612-U8", , , ,,
"386-FG","北客","HINO","ERK2JML","RK-14C-SHEN-A2","J08C-TP","馨盛", , , ,"北區", ,"全航237-U8", , , ,,
"387-FG","北客","HINO","ERK2JML","RK-14C-SHEN-A2","J08C-TP","馨盛", , , ,"北區", ,"全航292-U8", , , ,,
"388-FG","北客","HINO","ERK2JML","RK-14C-SHEN-A2","J08C-TP","馨盛", , , ,"北區", ,"全航613-U8", , , ,,
"389-FG","北客","HINO","ERK2JML","RK-14C-SHEN-A2","J08C-TP","馨盛",200603, , ,"北區", ,"全航179-U8", , , ,,
"390-FG","北客","HINO","ERK2JML","RK-14C-SHEN-A2","J08C-TP","馨盛", , , ,"北區", ,"全航611-U8", , , ,,
"391-FG","北客","HINO","ERK2JML","RK-14C-SHEN-A2","J08C-TP","馨盛", , , ,"北區", ,"仁友256-U8", , , ,,
"392-FG","北客","HINO","ERK2JML","RK-14C-SHEN-A2","J08C-TP","馨盛", , , ,"北區", ,"中客653-U8", , , ,,
"393-FG","北客","HINO","ERK2JML","RK-14C-SHEN-A2","J08C-TP","馨盛", , , ,"北區", ,"仁友257-U8", , , ,,
